ID,Nombre,Dirección,Ciudad,País,Teléfono,Horario,Instagram,Tipo,Estado
186,"Medical Vet","7 Calle Ruta 5 7-22 zona 4 Edificio Atom 4 oficina 201 B","Ciudad de GT","GT","+502 45794453",,,"online","inactive"
187,"Veternaria Santa Laura","33 avenida 30-81 Apto B zona 7","Ciudad de GT","GT","+502 41768840",,,"online","inactive"
188,"Mi Mascota","Avenida Las Américas 17-24 zona 13 local 1","Ciudad de GT","GT","+502 22927344",,,"online","inactive"
189,"Clinica Veterinaria Animalarie","24 calle final boulevard hospital militar 12-70 c.c Paseo san Isidro local 15 zona 16","Ciudad de GT","GT","+502 22565548",,,"online","inactive"
190,"Como Reyes","Boulevard Hospital Militar Plaza Santa Amelia local 16 zona 16","Ciudad de GT","GT","+502 59833263",,,"online","inactive"
191,"Veterinaria Pet Zoo Food","15 Calle, 10 Avenida 15-08 zona 11 colonia mariscal","Ciudad de GT","GT","+502 55563338",,,"online","inactive"
192,"Pet Medic","Km 18.5 carretera al Salvador El Tajin casa 9 Veterinaria pet Medic","Ciudad de GT","GT","+502 46111362",,,"online","inactive"
193,"Fluff & Buff","Avenida Hincapié 14-33 zona 13","Ciudad de GT","GT","+502 51814669",,,"online","inactive"
194,"Dogtora","Boulevard centro Médico Militar 15-51 zona 16 C.C Fatima zona 16","Ciudad de GT","GT","+502 43409982",,,"online","inactive"
195,"Veterinaria Animals","Avenida mariscal diagonal 17 21-11 colonia mariscal zona 11","Ciudad de GT","GT","+502 58397151",,,"online","inactive"
196,"Veterinaria Petit Vet","24av 30-24 Hacienda Real zona 16 Plaza Real","Ciudad de GT","GT","+502 30424257",,,"online","inactive"
197,"Pet Shop Barbudogs","11 calle 12-00 local A zona 17 colonia Meyer","Ciudad de GT","GT","+502 30097295",,,"online","inactive"
198,"Médico Veterinario (San Antonio Las Charcas)","30 calle 9-61 zona 11, condominio San Antonio las charcas casa 43","Ciudad de GT","GT","+502 57031429",,,"online","inactive"
199,"Veterinaria Agrolombriz","Km 7.5 ruta al Atlántico centro comercial plaza san Rafael zona 18 local 39","Ciudad de GT","GT","+502 57375151",,,"online","inactive"
200,"Veterinaria De Pocas Pulgas","2 avenida 20-50 zona 3","Ciudad de GT","GT","+502 36218310",,,"online","inactive"
201,"Veterinaria Vet Clean","14 calle 16-00 Centro Comercial Nimacentro local 4 colonia Nimajuyu 1, zona 21uyu","Ciudad de GT","GT","+502 56970256",,,"online","inactive"
202,"Pet Shop Kalú","Km 14.1 carretera Salvador C.c. paseo San Sebastian local 77-78 2do nivel","Ciudad de GT","GT","+502 31665588",,,"online","inactive"
203,"Médico Veterinario (Ciudad)","Ciudad GT","Ciudad de GT","GT","+502 45649550",,,"online","inactive"
204,"Animal Lovers","4 av 16-15 casa catorze zona14 local 5","Ciudad de GT","GT","+502 37190162",,,"online","inactive"
205,"La Pet","20 calle 39-32 zona 5 Plaza Real Asuncion local 7","Ciudad de GT","GT","+502 46897071",,,"online","inactive"
206,"Médico Veterinario (La Reina)","25 avenida lote 216 colonia la reina zona 6","Ciudad de GT","GT","+502 50297701",,,"online","inactive"
207,"Veterinaria Cachorros","10 avenida 1-22 zona 1 ciudad GT","Ciudad de GT","GT","+502 58682941",,,"online","inactive"
208,"Hospital De Mascotas Mariscal","Avenida mariscal diagonal 17 15-26 zona 11","Ciudad de GT","GT","+502 41193514",,,"online","inactive"
209,"Hospital Veterinario San Juan","Calzada San Juan 8-61 zona 7","Ciudad de GT","GT","+502 41193514",,,"online","inactive"
210,"Paws (El Zapote)","3 avenida final 17-36 zona 2 plaza portal El Zapote","Ciudad de GT","GT","+502 31378012",,,"online","inactive"
211,"Paws (Cayalá)","Blv Rafael Landivar Cayala plaza Nogales local 10c Zona 15","Ciudad de GT","GT","+502 33746447",,,"online","inactive"
212,"Paws (Carretera al Atlántico)","Km 4 carretera al Atlántico zona 17","Ciudad de GT","GT","+502 38057114",,,"online","inactive"
213,"Veterinaria Athenas","13 avenida 7-01 calle colonia 5ta Samayoa zona 7","Ciudad de GT","GT","+502 47407352",,,"online","inactive"
214,"PawMed","10 av A 2 -42 zona 15 Colonia Tecun Uman","Ciudad de GT","GT","+502 59379548",,,"online","inactive"
215,"My Family Pet","Ciudad GT","Ciudad de GT","GT","+502 37344246",,,"online","inactive"
216,"Mascolandia","33 avenida A 7-93 zona 7","Ciudad de GT","GT","+502 56278433",,,"online","inactive"
217,"Veterinaria Amazonia","45 calle 19-40 zona 12, centro comercial Gran Portal Petapa local S8","Ciudad de GT","GT","+502 40351652",,,"online","inactive"
218,"Paws (Cascata)","C.c plaza Cascata VH IV local 5 sotano 1 zona 16","Ciudad de GT","GT","+502 59997158",,,"online","inactive"
219,"Pet Market","11 calle 12-20 zona 17, lomas del norte interior plaza Lomas local 11 y 12","Ciudad de GT","GT","+502 42116477",,,"online","inactive"
220,"Pet Shop Mi Amigo Fiel","33 avenida 23-70 zona 7","Ciudad de GT","GT","+502 54663666",,,"online","inactive"
221,"Veterinaria Animall","1 calle 16-16 zona 1 ciudad capital","Ciudad de GT","GT","+502 30213035",,,"online","inactive"
222,"Best Friends","Sector 1 Manzana D casa 42 segundo nivel residenciales los olivos zona 18","Ciudad de GT","GT","+502 56303418",,,"online","inactive"
223,"Paws (Peri Roosvelth)","Centro comercial Peri Roosvelth Sótano Plaza F1","Ciudad de GT","GT","+502 30318293",,,"online","inactive"
224,"Veterinaria Sofi Land","Avenida Petapa 47-79 Plaza Grecia local 5, zona 12","Ciudad de GT","GT","+502 22547197",,,"online","inactive"
225,"Veterinaria Safari","4 calle 11-72 zona 1","Ciudad de GT","GT","+502 41829477",,,"online","inactive"
226,"Total Express","10 av 10-50 zona 14 plaza futeca local 17","Ciudad de GT","GT","+502 56327709",,,"online","inactive"
227,"Hector's Pet Shop","6 Av. 0-02 Zona 1","Mazatenango","GT","+502 56172642",,,"online","inactive"
228,"Mi Mascota","3 calle 2-27 Zona 1","Mazatenango","GT","+502 54719754",,,"online","inactive"
229,"Veterinaria Huellas","3 calle 5-44 Zona 1","Mazatenango","GT","+502 56436930",,,"online","inactive"
230,"Famavet","10Av. 1-61 Nueva Monserrat Zona 3","Mixco","GT","+502 55501277",,,"online","inactive"
231,"Veterinaria Word & Meow","30 calle E 5-30 Colonia la Bendición 2, zona 10 Mixco, La Comunidad","Mixco","GT","+502 37791174",,,"online","inactive"
232,"Pet's House","Calzada San Juan 2-33 zona 7 de Mixco, local 19, comercial jardines de san juan","Mixco","GT","+502 35922326",,,"online","inactive"
233,"Veterinaria Bello Vet","3era. Calle 6-48 San Cristóbal Local 2, Centro Comercial Real Villa","Mixco","GT","+502 59516828",,,"online","inactive"
234,"Veterinaria Arriagada","Calzada San Juan, 0 calle 3-21. Col. Monte Verde z. 4","Mixco","GT","+502 57713179",,,"online","inactive"
235,"Veterinaria Súper Vet","Pinares de San Cristobal 18 av 2-80 san Cristóbal 2 sector B4","Mixco","GT","+502 40674861",,,"online","inactive"
236,"Masco Vet","2 calle 14-45 Pinares de San Cristóbal zona 8","Mixco","GT","+502 52759020",,,"online","inactive"
237,"Veterinaria Pecas","18 avenida 3-94 sector B7, San Cristóbal 2 zona 8","Mixco","GT","+502 56945842",,,"online","inactive"
238,"Clínica Veterinaria Pet Market","3 calle 12-91 ciudad San Cristóbal zona 8 Mixco Centro Comercial El Boulevard local 10","Mixco","GT","+502 43634610",,,"online","inactive"
239,"Veterinaria Ozer","6 avenida A 10-12 zona 7 mixco","Mixco","GT","+502 55457117",,,"online","inactive"
240,"Veterinaria Doggo","7 avenida 6-26 zona 1 mixco","Mixco","GT","+502 46233152",,,"online","inactive"
241,"Pet Shop Pelucan","Avenida el cementerio las flores 14-77 zona 7 colonia San Ignacio","Mixco","GT","+502 41132285",,,"online","inactive"
242,"Hospital Veterinario Pet Care","3 calle 11-31 zona 3 colonia Nueva Monserrat","Mixco","GT","+502 40425813",,,"online","inactive"
243,"Pet Shop Huellitas","2 calle 7-33 plaza Alux local 2 y 3 zona 1 Mixco","Mixco","GT","+502 36148421",,,"online","inactive"
244,"Veterinaria Doctora De Mascotas","10 calle 11-61 zona 3 colonia Nueva Monserrat","Mixco","GT","+502 57168759",,,"online","inactive"
245,"Veterinaria Pulgarcito","13 calle 7-91 zona 11 colinas de Minerva","Mixco","GT","+502 50942704",,,"online","inactive"
246,"Concentrados Judá","6 avenida 7-40 zona 1 villa Mixco","Mixco","GT","+502 36602175",,,"online","inactive"
247,"Pet Shop Honey Pet","Calle de los pinos 13- 06 colonia San Ignacio zona 7","Mixco","GT","+502 35880545",,,"online","inactive"
248,"Home Vet","Boulevard Balcon 5 av 3-19 zona 8 Mixco San Cristobal","Mixco","GT","+502 32351130",,,"online","inactive"
249,"Médico Veterinario (El Naranjo)","Condado el Naranjo Villas Oviedo torre 9 Apto 104 zona 4","Mixco","GT","+502 38119056",,,"online","inactive"
250,"Veterinaria Milus","Calzada San Juan 11-83 y 11-89 zona 4","Mixco","GT","+502 37580161",,,"online","inactive"
251,"Veterinaria Pet House","5 avenida 11-16 colonia 1ro de julio zona 5","Mixco","GT","+502 45820308",,,"online","inactive"
252,"Veterinaria Taracena","Boulevard Tulam Tzu zona 4 mixco centro comercial la cúpula local 4","Mixco","GT","+502 32110015",,,"online","inactive"
253,"Hospital Veterinario San Pablo","0 calle 0-59 A Monserrat 1 zona 4 de Mixco","Mixco","GT","+502 57713179",,,"online","inactive"
254,"Veterinaria Muttz","4 avenida 4-34 zona 7 mixco colonia Belen","Mixco","GT","+502 35870299",,,"online","inactive"
255,"La Veterinaria","Calzada mateo flores 3-51 zona 3 Mixco colonia kajabal","Mixco","GT","+502 53476967",,,"online","inactive"
256,"Veterinaria Pets Life","Avenida Cementerio las flores 13-21 zona 7, Mixco Centro Comercial Los pinos local 1","Mixco","GT","+502 54860666",,,"online","inactive"
257,"Veterinaria Pet It","Blvd bosques de san Nicolás 24-53 centro comercial Plaza Naranjo local #27","Mixco","GT","+502 54005200",,,"online","inactive"
258,"Pet Shop D Pelos","Avenida cementerio las flores 11-77 zona 7, mixco","Mixco","GT","+502 30327146",,,"online","inactive"
259,"Veterinaria E & D","41 avenida 3-10 zona 4 , Mixco Miini plaza San Nicolás","Mixco","GT","+502 55953615",,,"online","inactive"
260,"Animal Care Center","3 calle 16-70 San Cristobal zona 8 mixco plaza los manantiales local 27","Mixco","GT","+502 55913195",,,"physical","active"
261,"Disof","Boulevard Sur 6 av 9-95 sector c1 ciudad san cristobal zona 8","Mixco","GT","+502 36784870",,,"online","inactive"
262,"Veterinaria Integrada Familiar","10 avenida 15-80 zona 3, colonia Alvarado Mixco","Mixco","GT","+502 22862476",,,"online","inactive"
263,"Médico Veterinario (San Nicolás)","31avenida 3-52 zona 4, Mixco bosques de San Nicolás","Mixco","GT","+502 34843179",,,"online","inactive"
264,"Pet Shop 1 Huellita","avenida 11A-19 zona 7 Los Trigales","Quetzaltenango","GT","+502 33154972",,,"online","inactive"
265,"Agroveterinaria Wolmi","15 Avenida, Quetzaltenango, Guatemala","Quetzaltenango","GT","+502 54495239",,,"physical","active"
266,"Comcentrados Dany","29 avenida 12-77, Los Trigales Xela","Quetzaltenango","GT","+502 46150656",,,"online","inactive"
267,"Comcentrados La Viña","5 calle zona 1 San José La Viña La Cantera","Quetzaltenango","GT","+502 59975856",,,"online","inactive"
268,"Zoo Mascotas","9 calle 25-57 Zona 3","Quetzaltenango","GT","+502 42569786",,,"online","inactive"
269,"Agro Reu P","Retalhuleu, Guatemala, 1 Av. Final 5-88 D zona 4 Barrio Monterrey","Retalhuleu","GT","+502 47997272",,,"physical","active"
270,"Veterinaria Animal Health","4 Calle 5-05 zona 6","Retalhuleu","GT","+502 38474473",,,"online","inactive"
271,"Veterinaria Huellitas","5av 2-59 zona 1","Retalhuleu","GT","+502 58218265",,,"online","inactive"
272,"Veterinaria Santa Cecilia","San Pedro el alto lote #11 sección i Antigua GT","Sacatepéquez","GT","+502 55952533",,,"online","inactive"
273,"Veterinaria Vet Pro","Km 47 carretera Ciudad Vieja casa 1 Antigua GT","Sacatepéquez","GT","+502 57324808",,,"online","inactive"
274,"Vet Friend","3calle A 4-16 local 1 zona 3","San Bartolomé Milpas Altas","GT","+502 52721579",,,"online","inactive"
275,"Distribución Praeo","8 AV. 1-41 Z. 3","San José Pinula","GT","+502 30300594",,,"online","inactive"
276,"Clínica Veterinaria (El Faro)","Km 17.4 carretera San José Pinula centro comercial el Faro local 40","San José Pinula","GT","+502 66374142",,,"online","inactive"
277,"Agrofertil","8 Avenida 10-08 Zona 4","San José Pinula","GT","+502 54207053",,,"online","inactive"
278,"Bigotes","Km16.5 carretera san jose pinula c.c Vilaflor","San José Pinula","GT","+502 37578604",,,"online","inactive"
279,"Animal Life","10a. Calle 10-04 zona 4","San Juan Sacatepéquez","GT","+502 58632217",,,"online","inactive"
280,"Agropecuaria San Miguel","7 Avenida 514, San Juan Sacatepéquez, Guatemala","San Juan Sacatepéquez","GT","+502 40922693",,,"physical","active"
281,"Veterinaria Blue Pet","0 calle 2-59 plaza San Angel local 12","San Lucas Sacatepéquez","GT","+502 50635741",,,"online","inactive"
282,"Distribuidora Anahias","20 Calle 33-86 Apto B Villa Hermosa 1 Blvd Principal Zona 7","San Miguel Petapa","GT","+502 48677947",,,"online","inactive"
283,"Concentrados Alba","20 Calle 32-92 Zona 7 Villa Hermosa","San Miguel Petapa","GT","+502 31121803",,,"online","inactive"
284,"Hospital Veterinario San Pedro","Centro comercial Paseo villa hermosa local 11 zona 7","San Miguel Petapa","GT","+502 24805521",,,"online","inactive"
285,"Pet Shop Patitas y Garritas","1a avenida 3-05 zona 3 Residenciales Rivera del Rio","San Miguel Petapa","GT","+502 55393442",,,"online","inactive"
286,"Concentrados La Popular","20 calle 34-16zona 7 san Miguel Petapa, villa Hermosa","San Miguel Petapa","GT","+502 47047005",,,"online","inactive"
287,"Médico Veterinario (Muxbal)","Km 18.4 Caes Santuaria Muxbal condominio Los encinos 3 calle casa 18","Santa Catarina Pinula","GT","+502 59512047",,,"online","inactive"
288,"Paws (Puerta Parada)","Aldea puerta parada carretera antigua a El Salvador lote 50 zona 7","Santa Catarina Pinula","GT","+502 50017297",,,"online","inactive"
289,"Happy Pets","Km 14.5 carretera Salvador Puerta Parada Plaza Loren local 8","Santa Catarina Pinula","GT","+502 37647511",,,"online","inactive"
290,"Centro Clínico Veterinario","Km 34.5 carretera hacía Antigua GT","Santa Lucía Milpas Altas","GT","+502 51579622",,,"online","inactive"
291,"Paws (Metrocentro)","Centro comercial Metrocentro Villa Nueva Local 279 Zona 1","Villa Nueva","GT","+502 30341524",,,"online","inactive"
292,"Pet Shop Paul","Av. San José de la Estrella 1157, local g","La Florida","CL","+56 9 2259 8717",,,"physical","active"
